Name,Labelbox category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely Values,Supervisely Category,Checkbox for follow-up,Assigned to
"""Embrasure""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Embrasure""","""Embrasures""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Outer-most (low) wall, Outer ward wall or Inner ward wall?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Outer-most (low) wall, Outer ward wall or Inner was wall?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Outer-most (low) wall, Outer ward wall or Inner ward wall?""","""* Outer-most (low) wall, Outer ward wall or Inner was wall?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Outermost (low) wall""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Outermost (low) wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Outermost (low) wall""","""Outermost (low) wall""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Outer ward wall""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Outer ward wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Outer ward wall""","""Outer ward wall""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Inner ward wall (There may not be an inner ward)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Inner ward wall (There may not be an inner ward)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Inner ward wall (There may not be an inner ward)""","""Inner ward wall (There may not be an inner ward)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Frontside, backside, or top?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Frontside, backside, or top?""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Frontside""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Frontside""","""Front facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Backside""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Backside""","""Back side""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Top (wall walk)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Top (wall walk)""","""Top""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Tower Features""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Tower Features""",,,,Abbey List
